processedData1_time,processedData1_data,processedData2_time,processedData2_data,processedData3_time,processedData3_data
0.0,0.5734726964470737,0.0,0.18978340020114692,0.0,0.0
0.07142857142857142,0.0,0.041666666666666664,0.4789985633329572,0.1111111111111111,0.0
0.14285714285714285,0.0,0.08333333333333333,0.0,0.2222222222222222,0.07997281982825455
0.21428571428571427,0.0,0.125,0.0,0.3333333333333333,0.0
0.2857142857142857,0.0,0.16666666666666666,0.0,0.4444444444444444,0.018650582297652596
0.3571428571428571,0.30972208806368007,0.20833333333333331,0.21564649402978397,0.5555555555555556,0.0
0.42857142857142855,0.0,0.25,0.0,0.6666666666666666,0.12304141601285212
0.5,0.48683848375725913,0.29166666666666663,0.0,0.7777777777777777,0.07311206519697522
0.5714285714285714,0.9111126620733044,0.3333333333333333,0.0,0.8888888888888888,0.22756728951441918
0.6428571428571428,0.28687237545098065,0.375,0.0653958553424625,1.0,0.0
0.7142857142857142,0.0,0.41666666666666663,0.0,,
0.7857142857142857,0.0,0.4583333333333333,0.0,,
0.8571428571428571,0.9362708969188746,0.5,0.0,,
0.9285714285714285,0.0,0.5416666666666666,0.0,,
1.0,0.09138580761063941,0.5833333333333333,0.0,,
,,0.625,0.851939812718643,,
,,0.6666666666666666,0.7524508487528612,,
,,0.7083333333333333,0.28147778074329355,,
,,0.75,0.0,,
,,0.7916666666666666,0.0,,
,,0.8333333333333333,0.5287804624941559,,
,,0.875,0.35123425833460786,,
,,0.9166666666666666,0.0,,
,,0.9583333333333333,0.19884670429568407,,
,,1.0,0.720378367817023,,
